Company,Product,Last Name,First Name,Telephone,Deal Status,Completion Date,Sales Code,Type of Contact,Call Attempt #1,Call Attempt #2,Call Attempt #3,Subscription Plan,Follow up,Type Of Contact,Last Name of Sales Rep,First Name of Sales Rep,Title of Sales Rep,Comments
Adobe,Solo,Nelson,Tracy,9648736234,Closed,2004-06-09,,Email,,2023-03-02,,1 Mo,,,Perkins,Kristin,Closer,
Oracle,Solo,Mcdonald,Michael,(617)641-6330,,,,Expo Event,2023-04-04,2023-02-20,2023-02-02,12 Mo,,Telephonic,Parker,Angel,,
NTT Finance,Enterprise,Rivera,Richard,609-738-0285,No Deal,2005-04-16,RPT,In Person,,,2023-01-29,1 Mo,2023-05-26,In Person,Adams,Maria,Associate,
NTT Security,Enterprise,Page,Daniel,(843)367-4587,Follow Up,2005-11-11,ADD,Expo Event,,,,,,In Person,Perkins,James,Manager,
Amazon,Enterprise,Bennett,Jaime,905-923-0902,Closed,,ADD,Telephonic,2023-02-08,,,18 Mo,2023-05-16,Telephonic,Pham,Jean,Associate,
Salesforce,Enterprise,White,Richard,452-513-7458,Closed,,,Expo Event,,,,12 Mo,,Telephonic,Boyd,Timothy,Manager,
Google,Solo,Anderson,Robert,(217)334-1503,Interested,2007-05-23,ADD,,,2023-01-29,,6 Mo,,In Person,Rodriguez,Mark,Closer,
Facebook,Enterprise,Garza,Rachel,5083791663,Interested,2004-07-18,UPG,Social Media,,2023-05-03,2023-02-05,18 Mo,,,Joseph,Eric,,
HP,Solo,Bowen,Dana,450-959-0150,Interested,2017-12-14,RPT,,,2023-02-06,2023-03-14,,,Telephonic,Austin,Allison,Associate,
Intel,Enterprise,Palmer,Michael,542-454-0241,,,ADD,In Person,,2023-04-15,2023-02-24,12 Mo,,,Branch,Holly,Closer,
NTT Communications,Enterprise,Valdez,Matthew,465-630-3016,No Deal,,ADD,Telephonic,,2023-05-10,2023-06-08,6 Mo,2023-04-13,,Kennedy,Kenneth,Associate,
Salesforce,Enterprise,Vega,Travis,624-523-4941,No Deal,,ADD,Telephonic,,,2023-06-13,12 Mo,2023-03-20,,Mcdaniel,Scott,Manager,
Microsoft,Professional,Walker,Elizabeth,(822)916-4896,No Deal,,,,,,,,,,Rhodes,Julie,Closer,
IBM,Professional,Wright,Julie,4874604490,,2016-05-27,,,,2023-05-19,2023-05-21,6 Mo,,In Person,Krueger,Madison,,
NTT Finance,Professional,Williams,Jared,410-233-1941,Closed,2016-04-15,UPG,In Person,,,2023-03-22,12 Mo,,,Martinez,Lisa,Manager,
Oracle,Professional,Thomas,Michael,5556138644,,,NEW,Email,2023-04-29,2023-03-23,2023-06-05,,,Telephonic,Mitchell,Jessica,Closer,
Facebook,Enterprise,Lee,Michael,853-509-3376,Follow Up,,ADD,In Person,,2023-01-14,,,,Telephonic,Harper,Elizabeth,Closer,
HP,Professional,Thompson,Sarah,2277946869,Closed,2009-07-07,,Email,2023-04-18,2023-05-23,2023-06-02,,,Telephonic,Peterson,Connie,Manager,
Oracle,Professional,Miller,Kayla,(908)440-7311,,,NEW,Telephonic,,2023-03-21,,6 Mo,,,Chavez,Morgan,Associate,
Huawei,Enterprise,Whitaker,Gordon,269-609-5158,,2018-05-29,ADD,In Person,2023-01-12,2023-04-15,,,,Telephonic,Reynolds,Christopher,Manager,
NTT DATA Business Solutions,Solo,Walker,Chad,(290)731-2296,Follow Up,2022-11-17,RPT,Expo Event,,2023-02-19,,6 Mo,,Telephonic,Lee,Susan,,
IBM,Solo,Guzman,Isaac,821-763-8273,No Deal,2003-06-05,UPG,,,2023-03-03,2023-06-12,6 Mo,,,Harris,Travis,,
Huawei,Enterprise,Todd,Sherri,3613013860,,,NEW,Email,,2023-01-21,,12 Mo,2023-02-02,Telephonic,Horton,Virginia,Manager,
NTT Urban Development,Solo,Marsh,Melissa,(841)779-5965,Interested,,RPT,Telephonic,,,,1 Mo,,,Bryant,Andrea,Manager,
